name,gs_email,s2aid,s2npubs
Hyesoon Kim,@cc.gatech.edu,8187053,105
Daichi Fujiki,,3364200,5
Kiyo Ishii,@md.tsukuba.ac.jp,2527905,41
Ikki Fujiwara,@nict.go.jp,1888437,37
Hiroki Matsutani,@arc.ics.keio.ac.jp,2567723,120
Hideharu Amano,@am.ics.keio.ac.jp,34575333,396
Henri Casanova,@hawaii.edu,1707417,202
Michihiro Koibuchi,@nii.ac.jp,2876310,161
Shaizeen Aga,@umich.edu,1898809,7
Supreet Jeloka,@umich.edu,2934986,18
Arun Subramaniyan,@umich.edu,1870110,9
Satish Narayanasamy,@umich.edu,1678884,68
David Blaauw,@umich.edu,1687117,588
Cheng-Chieh Huang,,27557023,22
Boris Grot,@ed.ac.uk,2309941,46
Derek R. Hower,@cs.wisc.edu,2160733,21
Harold W. Cain,@qti.qualcomm.com,3100338,24
Carl Waldspurger,@waldspurger.org,2642780,41
Yuhwan Ro,@snu.ac.kr,2317634,5
Hyunyoon Cho,@snu.ac.kr,2077514,9
Eojin Lee,@snu.ac.kr,7266659,4
Daejin Jung,@daejin.ac.kr,2550204,5
Young Hoon Son,@nxp.com,3173425,31
Jung Ho Ahn,@snu.ac.kr,2575874,90
Jae W. Lee,@snu.ac.kr,3091593,162
Yutao Liu,@sjtu.edu.cn,7895033,101
Peitao Shi,,31405940,2
Xinran Wang,,2866634,141
Binyu Zang,,7274044,94
Haibing Guan,,7203366,177
Linghao Song,@pitt.edu,2719313,10
Xuehai Qian,@usc.edu,2064331,30
Hai Li,,38929644,232
Yiran Chen,@duke.edu,5442167,316
Wenyan Lu,,1715363,50
Guihai Yan,@ict.ac.cn,8598330,34
Jiajun Li,,1772334,82
Shijun Gong,,10745963,1
Yinhe Han,,2276854,110
Xiaowei Li,@ict.ac.cn,1793856,394
Snehasish Kumar,@sfu.ca,37852689,11
Nick Sumner,@sfu.ca,2951954,27
Vijaylakshmi Srinivasan,,33624938,43
Steven Margerm,,10680647,1
Arrvindh Shriraman,@cs.sfu.ca,1807593,38
Daniel Oliveira,@inf.ufrgs.br,39652968,15
Laércio Pilla,@ufsc.br,1766536,55
Mauricio Hanzich,@bsc.es,2419140,24
Vinícius Fratin,,10688475,2
Fernando Fernandes,,6714557,24
Caio Lunardi,,2746510,6
José María Cela,,1766749,44
Philippe Navaux,@inf.ufrgs.br,29403921,28
Luigi Carro,@inf.ufrgs.br,1752570,359
Paolo Rech,@inf.ufrgs.br,2290186,69
Mohammad Abdel-Majeed,@ju.edu.jo,1973658,7
Hyeran Jeon,@sjsu.edu,33191825,31
Alireza Shafaei,@usc.edu,1718163,41
Murali Annavaram,@usc.edu,1789661,105
Massoud Pedram,@usc.edu,1691311,760
Zhenhong Liu,,5082188,32
Syed Gilani,@amd.com,2337644,15
Abhinandan Majumdar,@cornell.edu,3080400,11
Leonardo Piga,@ic.unicamp.br,3295421,12
Indrani Paul,@amd.com,2862953,46
Joseph L. Greathouse,@amd.com,2492556,27
Wei Huang,@amd.com,39338994,200
Xiaowei Ren,,3280686,38
Mieszko Lis,@ece.ubc.ca,11247851,52
Chenhao Xie,@fudan.edu.cn,2238837,7
Shuaiwen Leon Song,@pnnl.gov,1798309,51
Jing Wang,,1697912,2881
Weigong Zhang,,39986347,68
Xin Fu,,2077106,351
Xulong Tang,@cse.psu.edu,8573809,16
Ashutosh Pattnaik,@cse.psu.edu,40211216,8
Huaipan Jiang,,2127651,4
Onur Kayiran,@amd.com,2163220,20
Adwait Jog,@cs.wm.edu,2111543,26
Mohamed Ibrahim,,1707927,196
Mahmut T. Kandemir,@cse.psu.edu,1717494,663
Ian Miers,@jhu.edu,2679804,20
Payman Mohassel,@visa.com,1773836,54
Adam J. Aviv,@usna.edu,3076315,163
Seung Geol Choi,@usna.edu,1702836,32
Travis Mayberry,@ccs.neu.edu,2531090,28
Daniel S. Roche,@usna.edu,1789056,37
Ethan Heilman,@bu.edu,3174343,28
Leen Alshenibr,,3413078,2
Foteini Baldimtsi,@gmu.edu,1781543,24
Alessandra Scafuro,@bu.edu,1775686,29
Sharon Goldberg,@cs.bu.edu,1743586,82
Tim Ruffing,@mmci.uni-saarland.de,2784940,14
Pedro Moreno-Sanchez,@purdue.edu,2970940,20
Aniket Kate,@purdue.edu,1828965,74
Giulio Malavolta,,2103014,12
Matteo Maffei,@tuwien.ac.at,4436634,94
Seungsoo Lee,@kaist.ac.kr,35169923,31
Changhoon Yoon,@kaist.ac.kr,33472708,7
Chanhee Lee,,2807382,29
Seungwon Shin,@kaist.ac.kr,2083381,104
Vinod Yegneswaran,@csl.sri.com,1780068,71
Phillip Porras,,1800634,67
Tianlong Yu,@andrew.cmu.edu,2056880,10
Seyed K. Fayaz,@cmu.edu,1833376,26
Michael Collins,@redjack.com,2441497,36
Vyas Sekar,@andrew.cmu.edu,1732751,130
Srinivasan Seshan,@cs.cmu.edu,1730191,192
Juan Deng,,35253924,110
Hongda Li,@clemson.edu,3174431,78
Hongxin Hu,@clemson.edu,7150554,114
Kuang-Ching Wang,@clemson.edu,29181730,61
Gail-Joon Ahn,@asu.edu,1720429,249
Ziming Zhao,@asu.edu,2724702,80
Wonkyu Han,@asu.edu,1822882,10
Lei Shi,,2208926,71
Yuming Wu,,13840873,38
Yubin Xia,@sjtu.edu.cn,1708437,27
Nathan Dautenhahn,@cis.upenn.edu,1795094,12
Jinming Li,,1861817,222
Tobias Lauinger,,1760272,15
Abdelberi Chaabane,@inrialpes.fr,34982211,7
Sajjad Arshad,@ccs.neu.edu,2786583,14
William Robertson,@ccs.neu.edu,37894036,63
Christo Wilson,@ccs.neu.edu,35497150,57
Engin Kirda,@ccs.neu.edu,1707794,181
Phani Vadrevu,@uga.edu,2832718,4
Jienan Liu,@cs.uga.edu,20492581,3
Bo Li,@uga.edu,2485552,1128
Babak Rahbarinia,@aum.edu,2946091,9
Kyu Hyung Lee,@uga.edu,1766676,28
Roberto Perdisci,@cs.uga.edu,2822260,58
Yinzhi Cao,@u.northwestern.edu,3139121,28
Song Li,@lehigh.edu,1806013,513
Erik Wijmans,,8405939,2
Guolei Yang,@iastate.edu,3333838,7
Neil Zhenqiang Gong,@iastate.edu,1990973,40
Ying Cai,@iastate.edu,26382519,386
Simon Eberz,@cs.ox.ac.uk,2691390,6
Nicola Paoletti,@stonybrook.edu,2165134,37
