name,gender,n_female,n_male
"Zhang, Yongdong",M,NA,NA
"Berg, Kimmo",M,0,1
"Sandholm, Tuomas",M,0,7
"Kuang, Kun",M,1,4
"Cui, Peng",M,2,9
"Li, Bo",F,2,6
"Jiang, Meng",M,1,4
"Yang, Shiqiang",M,2,7
"Wang, Fei",M,NA,NA
"Dong, Zhen",M,NA,NA
"Jia, Su",M,NA,NA
"Zhang, Chi",NA,1,3
"Pei, Mingtao",M,NA,NA
"Lewenberg, Yoad",M,0,3
"Bachrach, Yoram",M,0,3
"Paquet, Ulrich",M,1,12
"Rosenschein, Jeffrey S.",M,0,3
"Nushi, Besmira",F,1,2
"Kamar, Ece",F,3,4
"Kossmann, Donald",M,2,1
"Zarezade, Ali",M,0,7
"Khodadadi, Ali",M,0,4
"Farajtabar, Mehrdad",M,1,13
"Rabiee, Hamid R.",M,1,11
"Gao, Quanxue",M,0,0
"Nusser, Andre",M,1,1
"Funke, Stefan",M,1,1
"Storandt, Sabine",F,0,2
"Hara, Satoshi",M,0,1
"Maehara, Takanori",M,1,8
"Perez, Guillaume",M,0,1
"Regin, Jean-Charles",M,0,1
"Li, Yingming",NA,0,3
"Yang, Ming",M,NA,NA
"Xu, Zenglin",M,NA,NA
"Zhang, Zhongfei",M,NA,NA
"Son, Jeong-Woo",M,0,3
"Jeon, Junekey",M,0,3
"Lee, Alex",M,0,3
"Kim, Sun-Joong",M,0,3
"Gupta, Rahul",M,0,3
"Pal, Soham",M,0,3
"Kanade, Aditya",M,0,3
"Shevade, Shirish",M,0,3
"Bhattacharya, Sakyajit",NA,0,2
"Rajan, Vaibhav",M,NA,NA
"Shrivastava, Harsh",M,NA,NA
"Cimatti, Alessandro",M,0,5
"Micheli, Andrea",M,0,2
"Roveri, Marco",M,0,5
"Niu, Yulei",M,0,5
"Lu, Zhiwu",M,0,5
"Huang, Songfang",M,0,5
"Gao, Xin",M,2,7
"Wen, Ji-Rong",M,0,10
"Zhao, An",M,0,5
"Chu, Shanbo",M,0,2
"Jiang, Yong",M,0,5
"Tu, Kewei",M,0,2
"Ortiz, Luis",M,0,1
"Irfan, Mohammad",M,0,1
"Nishida, Kyosuke",M,1,2
"Sadamitsu, Kugatsu",F,0,3
"Higashinaka, Ryuichiro",M,1,2
"Matsuo, Yoshihiro",M,1,2
"Wang, Jinzhuo",M,0,5
"Wang, Wenmin",M,NA,NA
"Wang, Ronggang",M,NA,NA
"Gao, Wen",M,0,7
"Li, Jun",M,0,7
"Kong, Yu",M,0,4
"Susanto, Raymond Hendy",M,0,1
"Jie, Zhanming",M,0,2
"Muis, Aldrian Obaja",M,1,3
"Li, Nana",F,1,2
"Zhai, Shuangfei",M,NA,NA
"Liu, Boying",F,1,2
"Zeng, Yulong",M,0,2
"Tang, Pingzhong",M,0,8
"Zuo, Song",M,0,2
"Kafali, Ozgur",M,3,2
"Ajmeri, Nirav",M,0,2
"Singh, Munindar P.",M,3,2
"Tan, Ben",M,0,3
"Pan, Sinno Jialin",M,2,5
"Li, Piji",NA,2,7
"Wang, Zihao",M,NA,NA
"Lam, Wai",M,NA,NA
"Bing, Lidong",M,NA,NA
"Tay, Yi",M,0,5
"Luu, Anh Tuan",M,0,3
"Hui, Siu Cheung",M,0,5
"Farina, Gabriele",M,0,3
"Gatti, Nicola",M,0,7
"Deng, Yuan",M,0,3
"Conitzer, Vincent",M,0,3
"Chen, Yiling",F,0,1
"Alashkar, Taleb",M,1,2
"Jiang, Songyao",M,1,2
"Brill, Markus",M,0,5
"Laslier, Jean-Francois",M,1,5
"Skowron, Piotr",M,1,10
"You, Quanzeng",M,0,2
"Jin, Hailin",M,2,14
"Luo, Jiebo",M,NA,NA
"Panigrahi, Debmalya",M,0,10
"Waggoner, Bo",M,1,5
