name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Alaghi, Armin",@cs.washington.edu,M,US,EDU,32,10,9,12,8,509,41
"Alam, Hanna",@tce.technion.ac.il,M,IL,EDU,2,1,1,0,0,4,2
"Alam, Mejbah Ul",@utsa.edu,M,US,EDU,3,1,1,1,1,14,5
"Alam, Monjur",@gatech.edu,M,US,EDU,16,5,5,5,4,112,17
"Alam, Sadaf R.",,F,,,,,,,,,
"Alameldeen, Alaa",@cs.wisc.edu,M,US,EDU,50,25,22,31,29,4776,37
"Alapati, Praveen",@cse.iitm.ac.in,M,IN,EDU,2,0,0,0,0,-1,2
"Alay, Özgü",@simula.no,F,NO,GOV,57,10,9,12,9,512,44
"Albarghouthi, Aws",@cs.wisc.edu,M,US,EDU,28,12,12,12,12,507,28
"Albayram, Yusuf",,M,US,EDU,,,,,,,12
"Albericio, Jorge",@ece.toronto.edu,M,,COM,27,8,8,7,7,179,19
"Albers, Susanne",@in.tum.de,F,DE,EDU,159,34,22,60,40,4039,192
"Albonesi, David",,M,US,EDU,,,,,,,105
"Alcantara, Joel",,M,,,,,,,,,39
"Alcorn, Scott",,M,,,,,,,,,3
"Alcántara, Manuel",,M,MX,EDU,,,,,,,16
"Aldinucci, Marco",@unito.it,M,IT,EDU,185,25,15,49,29,2043,
"Aldrich, Jonathan",@cs.cmu.edu,M,US,EDU,233,32,23,64,38,4393,
"Alduaij, Naser",@cs.columbia.edu,M,US,EDU,5,1,1,1,1,12,3
"Aldweesh, Amjad",,M,UK,EDU,,,,,,,1
"Alexeev, Yuri",@alcf.anl.gov,M,US,GOV,62,15,11,22,14,578,26
"Alforov, Yevhen",@dkrz.de,M,DE,GOV,10,3,3,1,0,31,1
"Alfredsson, Stefan",@kau.se,M,SE,EDU,36,7,5,5,1,130,27
"Alglave, Jade",@ucl.ac.uk,F,UK,EDU,48,16,16,20,19,1348,
"Alhassoun, Nailah",@ksu.edu.sa,F,US,EDU,1,1,1,1,0,10,3
"Ali, Karim",@ualberta.ca,M,CA,EDU,30,5,5,4,4,156,43
"Ali-Eldin, Ahmed",@cs.umu.se,M,SE,EDU,24,9,9,7,7,673,20
"Alian, Mohammad",@illinois.edu,M,US,EDU,2,0,0,0,0,0,7
"Alim, Adil",@albany.edu,M,US,EDU,3,0,0,0,0,0,5
"Alimohammadifar, Amir",,M,CA,EDU,,,,,,,3
"Alipour, Mehdi",@it.uu.se,M,SE,EDU,12,4,4,2,2,37,11
"Alipourfard, Omid",@yale.edu,M,US,EDU,7,3,3,2,2,91,6
"Alistarh, Dan",@csail.mit.edu,M,CH,EDU,60,13,11,16,11,410,72
