key,linked,unreleased,expired,badge,evaluated,location
CCS_17_030,False,False,False,False,False,Repository
CCS_17_031,True,False,False,True,False,Repository
CCS_17_032,True,False,False,True,False,Repository
CCS_17_033,True,False,False,True,False,Repository
CCS_17_034,True,False,False,False,False,Repository
CCS_17_040,False,False,False,True,False,Academic
CCS_17_041,True,False,False,False,False,Repository
CCS_17_042,True,False,False,True,False,Repository
CCS_17_044,False,False,False,False,False,Repository
CCS_17_046,True,False,False,True,False,Repository
CCS_17_048,False,False,False,False,False,Repository
CCS_17_053,False,False,False,False,False,Repository
CCS_17_060,False,False,False,False,False,Repository
CCS_17_062,False,False,False,True,False,Repository
CCS_17_063,False,False,False,False,False,Repository
CCS_17_064,True,False,False,False,False,Repository
CCS_17_074,False,False,False,True,False,Repository
CCS_17_076,True,False,False,True,False,Repository
CCS_17_078,True,False,False,True,False,Repository
CCS_17_082,False,False,False,False,False,Repository
CCS_17_085,False,True,True,False,False,
CCS_17_092,False,True,False,True,False,
CCS_17_093,True,False,False,False,False,Other
CCS_17_094,False,False,False,True,False,Filesharing
CCS_17_099,False,False,True,True,False,Other
CCS_17_101,False,False,False,True,False,Academic
CCS_17_104,True,False,False,True,False,Other
CCS_17_106,True,False,False,False,False,Repository
CCS_17_108,True,False,False,True,False,Academic
CCS_17_109,True,False,False,False,False,Repository
CCS_17_110,True,False,False,False,False,Repository
CCS_17_111,True,False,False,True,False,Repository
CCS_17_112,True,False,False,False,False,Repository
CCS_17_113,True,False,False,False,False,Repository
CCS_17_115,True,False,True,True,False,Repository
CCS_17_116,True,False,False,False,False,Academic
CCS_17_120,True,False,False,True,False,Repository
CCS_17_123,False,False,True,True,False,Academic
CCS_17_124,True,False,False,True,False,Repository
CCS_17_125,True,False,False,True,False,Academic
CCS_17_126,False,False,False,True,False,Repository
CCS_17_128,True,False,False,False,False,Other
CCS_17_130,True,False,False,True,False,Academic
CCS_17_131,True,False,False,True,False,Repository
CCS_17_133,False,False,False,False,False,Repository
CCS_17_134,True,False,False,False,False,Repository
CCS_17_135,False,False,False,True,False,Repository
CCS_17_141,True,False,False,False,False,Other
CCS_17_144,False,False,False,True,False,Repository
CCS_17_145,True,False,False,True,False,Repository
CCS_17_147,True,False,False,False,False,Repository
CCS_17_148,True,False,False,True,False,Repository
CCS_17_151,True,False,False,True,False,Repository
SOSP_17_001,False,False,False,False,False,Repository
SOSP_17_005,True,False,False,False,False,Repository
SOSP_17_007,False,False,False,False,False,Repository
SOSP_17_008,False,False,False,False,False,Repository
SOSP_17_010,True,False,False,False,False,Repository
SOSP_17_011,False,False,False,False,False,Repository
SOSP_17_012,True,False,False,False,False,Repository
SOSP_17_013,False,False,False,False,False,Repository
